"","X","text","favoriteCount","created","id","retweetCount","subject","url","source","categories"
"11606",11606,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/hh3FM05LvO",0,"2014-11-07 22:27:50",530849133074976768,3,"Alabama's 5th congressional district","http://t.co/hh3FM05LvO","US House of Representatives","Constituencies disestablished in 1861"
"11607",11607,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/hh3FM05LvO",0,"2014-11-07 22:27:50",530849133074976768,3,"Alabama's 5th congressional district","http://t.co/hh3FM05LvO","US House of Representatives","Constituencies disestablished in 1963"
"11608",11608,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/hh3FM05LvO",0,"2014-11-07 22:27:50",530849133074976768,3,"Alabama's 5th congressional district","http://t.co/hh3FM05LvO","US House of Representatives","Constituencies established in 1833"
"11609",11609,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/hh3FM05LvO",0,"2014-11-07 22:27:50",530849133074976768,3,"Alabama's 5th congressional district","http://t.co/hh3FM05LvO","US House of Representatives","Constituencies established in 1843"
"11610",11610,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/hh3FM05LvO",0,"2014-11-07 22:27:50",530849133074976768,3,"Alabama's 5th congressional district","http://t.co/hh3FM05LvO","US House of Representatives","Constituencies established in 1868"
"11611",11611,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/hh3FM05LvO",0,"2014-11-07 22:27:50",530849133074976768,3,"Alabama's 5th congressional district","http://t.co/hh3FM05LvO","US House of Representatives","Constituencies established in 1965"
"11612",11612,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/hh3FM05LvO",0,"2014-11-07 22:27:50",530849133074976768,3,"Alabama's 5th congressional district","http://t.co/hh3FM05LvO","US House of Representatives","Jackson County, Alabama"
"11613",11613,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/hh3FM05LvO",0,"2014-11-07 22:27:50",530849133074976768,3,"Alabama's 5th congressional district","http://t.co/hh3FM05LvO","US House of Representatives","Lauderdale County, Alabama"
"11614",11614,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/hh3FM05LvO",0,"2014-11-07 22:27:50",530849133074976768,3,"Alabama's 5th congressional district","http://t.co/hh3FM05LvO","US House of Representatives","Lawrence County, Alabama"
"11615",11615,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/hh3FM05LvO",0,"2014-11-07 22:27:50",530849133074976768,3,"Alabama's 5th congressional district","http://t.co/hh3FM05LvO","US House of Representatives","Limestone County, Alabama"
"11616",11616,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/hh3FM05LvO",0,"2014-11-07 22:27:50",530849133074976768,3,"Alabama's 5th congressional district","http://t.co/hh3FM05LvO","US House of Representatives","Madison County, Alabama"
"11617",11617,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/hh3FM05LvO",0,"2014-11-07 22:27:50",530849133074976768,3,"Alabama's 5th congressional district","http://t.co/hh3FM05LvO","US House of Representatives","Morgan County, Alabama"
